"grid_id","alpha","lambda","log10_lambda","accuracy","tc","valid"
30,0.8,10,1,0.428116710875332,3119.30855018587,TRUE
31,0.9,10,1,0.428116710875332,3119.30855018587,TRUE
32,1,10,1,0.428116710875332,3119.30855018587,TRUE
33,0,3.16227766016838,0.5,0.428116710875332,3117.69700878659,TRUE
34,0.1,3.16227766016838,0.5,0.428116710875332,3119.30855018587,TRUE
35,0.2,3.16227766016838,0.5,0.428116710875332,3119.30855018587,TRUE
36,0.3,3.16227766016838,0.5,0.428116710875332,3119.30855018587,TRUE
37,0.4,3.16227766016838,0.5,0.428116710875332,3119.30855018587,TRUE
38,0.5,3.16227766016838,0.5,0.428116710875332,3119.30855018587,TRUE
39,0.6,3.16227766016838,0.5,0.428116710875332,3119.30855018587,TRUE
40,0.7,3.16227766016838,0.5,0.428116710875332,3119.30855018587,TRUE
41,0.8,3.16227766016838,0.5,0.428116710875332,3119.30855018587,TRUE
42,0.9,3.16227766016838,0.5,0.428116710875332,3119.30855018587,TRUE
43,1,3.16227766016838,0.5,0.428116710875332,3119.30855018587,TRUE
44,0,1,0,0.431299734748011,3072.73370453626,TRUE
45,0.1,1,0,0.428116710875332,3119.30855018587,TRUE
46,0.2,1,0,0.428116710875332,3119.30855018587,TRUE
47,0.3,1,0,0.428116710875332,3119.30855018587,TRUE
48,0.4,1,0,0.428116710875332,3119.30855018587,TRUE
49,0.5,1,0,0.428116710875332,3119.30855018587,TRUE
50,0.6,1,0,0.428116710875332,3119.30855018587,TRUE
51,0.7,1,0,0.428116710875332,3119.30855018587,TRUE
52,0.8,1,0,0.428116710875332,3119.30855018587,TRUE
53,0.9,1,0,0.428116710875332,3119.30855018587,TRUE
54,1,1,0,0.428116710875332,3119.30855018587,TRUE
55,0,0.316227766016838,-0.5,0.421750663129974,3024.16408765904,TRUE
56,0.1,0.316227766016838,-0.5,0.428116710875332,3119.30855018587,TRUE
57,0.2,0.316227766016838,-0.5,0.428116710875332,3119.30855018587,TRUE
58,0.3,0.316227766016838,-0.5,0.428116710875332,3119.30855018587,TRUE
59,0.4,0.316227766016838,-0.5,0.428116710875332,3119.30855018587,TRUE
60,0.5,0.316227766016838,-0.5,0.428116710875332,3119.30855018587,TRUE
61,0.6,0.316227766016838,-0.5,0.428116710875332,3119.30855018587,TRUE
62,0.7,0.316227766016838,-0.5,0.428116710875332,3119.30855018587,TRUE
63,0.8,0.316227766016838,-0.5,0.428116710875332,3119.30855018587,TRUE
64,0.9,0.316227766016838,-0.5,0.428116710875332,3119.30855018587,TRUE
65,1,0.316227766016838,-0.5,0.428116710875332,3119.30855018587,TRUE
66,0,0.1,-1,0.423872679045093,2981.09805519813,TRUE
67,0.1,0.1,-1,0.424403183023873,3013.64255117647,TRUE
68,0.2,0.1,-1,0.427586206896552,3081.62813123094,TRUE
69,0.3,0.1,-1,0.427586206896552,3113.18462900572,TRUE
70,0.4,0.1,-1,0.428116710875332,3119.30855018587,TRUE
71,0.5,0.1,-1,0.428116710875332,3119.30855018587,TRUE
72,0.6,0.1,-1,0.428116710875332,3119.30855018587,TRUE
73,0.7,0.1,-1,0.428116710875332,3119.30855018587,TRUE
74,0.8,0.1,-1,0.428116710875332,3119.30855018587,TRUE
75,0.9,0.1,-1,0.428116710875332,3119.30855018587,TRUE
76,1,0.1,-1,0.428116710875332,3119.30855018587,TRUE
77,0,0.0316227766016838,-1.5,0.419628647214854,2999.7021018982,TRUE
78,0.1,0.0316227766016838,-1.5,0.424403183023873,2972.16854971171,TRUE
79,0.2,0.0316227766016838,-1.5,0.426525198938992,2981.75218557724,TRUE
80,0.3,0.0316227766016838,-1.5,0.423342175066313,2995.73707910831,TRUE
81,0.4,0.0316227766016838,-1.5,0.427055702917772,2997.42619937915,TRUE
82,0.5,0.0316227766016838,-1.5,0.423342175066313,3036.890743694,TRUE
83,0.6,0.0316227766016838,-1.5,0.422281167108753,3071.85889934522,TRUE
84,0.7,0.0316227766016838,-1.5,0.424403183023873,3077.19381473599,TRUE
85,0.8,0.0316227766016838,-1.5,0.427586206896552,3094.65539087886,TRUE
86,0.9,0.0316227766016838,-1.5,0.427586206896552,3107.18278206252,TRUE
87,1,0.0316227766016838,-1.5,0.427055702917772,3114.76295989884,TRUE
88,0,0.01,-2,0.416445623342175,3193.37549652903,TRUE
89,0.1,0.01,-2,0.417506631299735,2999.32339145644,TRUE
90,0.2,0.01,-2,0.424933687002652,2972.62460929105,TRUE
91,0.3,0.01,-2,0.420689655172414,2990.67794859608,TRUE
92,0.4,0.01,-2,0.422281167108753,2980.74558519233,TRUE
93,0.5,0.01,-2,0.422811671087533,2982.82776329128,TRUE
94,0.6,0.01,-2,0.425994694960212,2976.49199700035,TRUE
